FT_API_PROFILE: captured ~60s of API server cProfile (cumulative time, top 80)

         4725427 function calls (4635087 primitive calls) in 4.968 seconds

   Ordered by: cumulative time
   List reduced from 856 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    58374    0.028    0.000    0.128    0.000 /home/jlpang/my-vllm-serving-system/vllm/entrypoints/openai/engine/protocol.py:264(handle_deprecated_reasoning_content)
    32555    0.025    0.000    0.048    0.000 /usr/lib/python3.10/asyncio/mixins.py:22(_get_loop)
    29602    0.024    0.000    0.180    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/middleware/errors.py:156(_send)
    32555    0.022    0.000    0.022    0.000 {built-in method _asyncio._get_running_loop}
    29602    0.022    0.000    0.203    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_fastapi_instrumentator/middleware.py:166(send_wrapper)
    32634    0.022    0.000    0.033    0.000 /usr/lib/python3.10/os.py:755(encode)
    29090    0.021    0.000    0.082    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:57(put)
    29478    0.020    0.000    0.174    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/detokenizer.py:233(_protected_step)
    59051    0.019    0.000    0.019    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_client/metrics.py:67(_is_observable)
    32334    0.019    0.000    0.166    0.000 /home/jlpang/my-vllm-serving-system/vllm/envs.py:1632(__getattr__)
    59051    0.019    0.000    0.038    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_client/metrics.py:73(_raise_if_not_observable)
    29090    0.017    0.000    0.191    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/detokenizer.py:220(decode_next)
     6591    0.017    0.000    0.035    0.000 /usr/lib/python3.10/asyncio/queues.py:150(get)
     1906    0.016    0.000    0.035    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/core/sched/benders/cost_tables.py:191(_compute_costs_raw)
    32334    0.016    0.000    0.117    0.000 /usr/lib/python3.10/os.py:772(getenv)
    29390    0.016    0.000    2.268    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/starlette/responses.py:272(wrap)
    29081    0.015    0.000    0.021    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/output_processor.py:83(get_nowait)
    64272    0.015    0.000    0.015    0.000 {method 'encode' of 'str' objects}
     3141    0.015    0.000    0.036    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/sugar/attrsettr.py:43(__getattr__)
     9351    0.015    0.000    0.036    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_client/metrics.py:458(set)
      387    0.014    0.000    0.028    0.000 /home/jlpang/my-vllm-serving-system/vllm/utils/async_utils.py:85(_batch_encode_loop)
     2965    0.014    0.000    0.149    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/engine/ft_client.py:1250(_solve_epoch_loop)
     9351    0.013    0.000    0.026    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/_future.py:682(_schedule_remaining_events)
    15797    0.013    0.000    0.038    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/prometheus_client/metrics.py:335(inc)
     6507    0.012    0.000    0.025    0.000 /usr/lib/python3.10/enum.py:980(__or__)
    94467    0.012    0.000    0.012    0.000 {method '__exit__' of '_thread.lock' objects}
     3141    0.011    0.000    0.047    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/_future.py:704(_drop_io_state)
    29090    0.011    0.000    0.014    0.000 /home/jlpang/my-vllm-serving-system/vllm/utils/collection_utils.py:49(as_list)
     9351    0.011    0.000    0.018    0.000 /usr/lib/python3.10/typing.py:306(inner)
     6198    0.011    0.000    0.011    0.000 /home/jlpang/my-vllm-serving-system/venv/lib/python3.10/site-packages/zmq/sugar/socket.py:376(__setattr__)
     3117    0.010    0.000    0.017    0.000 /home/jlpang/my-vllm-serving-system/vllm/v1/metrics/loggers.py:155(record)


